dep,partido,estado,votodilma,liberado,recebido,vototemer,discurso,discurso2
Carlos Henrique Gaguim,PODE,TO,A favor,7516630,1735402.06,Contra,"Sr. Presidente, que o Presidente Michel possa, juntamente com a sua equipe, levar recursos para o meu Tocantins, saúde, educação, segurança pública. Gaguim vota sim.",25
Carlos Manato,SD,ES,A favor,3339538,3988134.92,A favor,"Sr. Presidente, em respeito ao Estado Democrático de Direito que eu defendo, acredito que esse processo tem que ir para o Supremo Tribunal Federal. Voto não.",26
Carlos Marun,PMDB,MS,A favor,5874910,384764.41,Contra,"Sr. Presidente, porque confio na inocência do Presidente Temer, porque acredito que o Presidente Temer está governando bem o Brasil e porque esse relatório nada tem em termos de prova a realmente comprometer o Presidente, eu voto sim ao brilhante relatório do Deputado Paulo Abi-Ackel do PSDB de Minas Gerais.",50
Carlos Melles,DEM,MG,A favor,6030551.54,1892904.05,Contra,"Presidente, voto como votei na Comissão de Constituição e Justiça: sim.",11
Carlos Sampaio,PSDB,SP,A favor,7572094,2845114.58,A favor,"Não ao relatório, Sr. Presidente.",5
Carlos Zarattini,PT,SP,Contra,8085087.76,2491096.68,A favor,"Contra a reforma trabalhista, contra a reforma da Previdência, contra a entrega das riquezas nacionais, meu voto é não a Temer. Meu voto é contra este Governo. Viva o Brasil!",30
Carmen Zanotto,PPS,SC,A favor,5276058.55,1896004.62,A favor,"Sr. Presidente, pela autorização da investigação, voto nãoao parecer do Relator.",11
Célio Silveira,PSDB,GO,A favor,7564792.55,633059.15,Contra,"Sr. Presidente, para que o Brasil saia urgentemente da pior crise da sua história, eu voto sim.",17
Celso Jacob,PMDB,RJ,Não estava no cargo,3936910,1667092.6,Contra,Voto com o relatório da CCJ. Voto sim.,8
Celso Maldaner,PMDB,SC,A favor,8860750,2576215.04,Contra,"Sr. Presidente, pelo nosso Brasil, eu voto sim.",8
Celso Pansera,PMDB,RJ,Contra,4685253,0,A favor,"Presidente, voto contra o relatório da CCJ. Meu voto é não.",11
Celso Russomano,PRB,SP,A favor,2175512.83,3977175.32,Contra,"Sr. Presidente, Sras. e Srs. Deputados, meu voto é técnico. Li a denúncia, item por item. Ela é inconsistente, ela é frágil e, por isso, meu voto é sim.",29
César Halum,PRB,TO,A favor,9469200,487634.89,A favor,"Sr. Presidente, eu estou há 29 anos na vida pública e sempre me pautei pela coerência, pela transparência e pelo combate à corrupção. Votei a favor do impeachmente voto a favor do prosseguimento das investigações.
Meu voto é não.",39
César Messias,PSB,AC,Contra,5419724,208200.87,A favor,"Sr. Presidente, o sistema de presidencialismo de coalizão foi implantado no Brasil pelo José Sarney. O PMDB implantou esse sistema, sistema de corrupção. E o maior arquiteto desse projeto de corrupção é o Presidente Michel Temer.
O meu voto é não, porque o sistema brasileiro está podre, e parte dessa podridão está aqui dentro. ",54
Cesar Souza,PSD,SC,A favor,9500000,934641.72,Contra,"Sr. Presidente, a favor do Brasil, a favor do desenvolvimento e da geração de empregos, eu voto sim, com o Relator.",21
Chico Alencar,PSOL,RJ,Contra,510779.89,966208.02,A favor,"Para o PSOL, impedir a investigação é ser cúmplice da corrupção. Não ao roubo de direitos, não à compra de votos, não ao conluio espúrio entre grandes corporações e a política degenerada. Eleições gerais já! O povo nos observa. O PSOL vota não.",43
Chico D'Angelo,PT,RJ,Contra,2837752.5,236392.63,A favor,"Sr. Presidente, a denúncia é grave e é vergonhoso livrar Temer da investigação. O crime da mala não pode ficar impune. Pela luta do povo brasileiro contra a retirada de direitos, o meu voto é não.",36
Chico Lopes,PCdoB,CE,Contra,9160411.8,670739.32,A favor,"Bem, eu fui escolhido pelo povo. Se eu fui escolhido pelo povo, eu tenho que votar pelo povo, que é a maioria, porque o Michel Temer não tem nem 1% de popularidade. Por isso, não.",35
Christiane de Souza Yared,PR,PR,A favor,9150072,3237416.12,A favor,"Sr. Presidente, eu sóquero esclarecer que estive com o Presidente Temer, durante uma hora, e em nenhum momento ele tocou na palavra da denúncia, em nenhum momento ele tocou nisso.
Eu queria dizer que eu represento hoje o meu Estado e que eu voto contra o relatório.",47
Cícero Almeida,PMDB,AL,A favor,4878231,0,Contra,"Sr. Presidente, este é o chamado voto de gratidão. Pela forma decente e amável que o Presidente da República e seus Ministros têm tratado o Estado de Alagoas, o meu voto é sim.",33
Claudio Cajado,DEM,BA,A favor,5877058.92,2021882.06,Contra,"Sr. Presidente, diante da gravíssima crise que o País atravessa, voto não, neste momento, pelo prosseguimento da ação e sim com o relatório.",23
Cleber Verde,PRB,MA,A favor,7106838,511730.2,Contra,"Sr. Presidente, a denúncia que ora analisamos primeiro já não apresenta provas concretas baseadas no que foram encaminhadas pelo Ministério Público.
Segundo, o Colegiado Técnico desta Casa, que é a CCJ — Comissão de Constituição e Justiça e de Cidadania — já afastou essa denúncia. Portanto, lá, eu sou membro desta Comissão, votei contra esta denúncia e, portanto, acompanho o relatório que foi vitorioso na Comissão: voto, portanto, sim.",69
Conceição Sampaio,PP,AM,A favor,1419904.49,2484427.12,A favor,"Sr. Presidente, queridos colegas Parlamentares, lamento que mais uma vez tenhamos que passar por esse momento, mas eu voto não ao relatório. ",22
Covatti Filho,PP,RS,A favor,9712452.78,1229281.57,Contra,Sim.,1
Cristiane Brasil,PTB,RJ,A favor,4958100,181877.76,Contra,"Não, Sr. Presidente, o povo brasileiro não aguenta mais ouvir falar dessa denúncia, que é ilegal, que foi produzida por provas ilegais por um homem que tinha que estar preso. O Brasil não aguenta mais. Nós temos que virar essa página, acabar com isso e voltar a trabalhar. Por isso, o meu voto, Presidente, é sim.",56
Dagoberto Nogueira,PDT,MS,Contra,6030069,0,A favor,"Sr. Presidente, estou convicto de que houve crime pelas provas robustas do processo e pelo que eu vi na imprensa nacional. Portanto, eu vou votar pela admissibilidade da investigação e não ao relatório. ",33
Damião Feliciano,PDT,PB,Contra,9350712.55,1099683.98,A favor,"Sr. Presidente, acompanhando a orientação do meu partido, meu voto é não.",12
Dâmina Pereira,PSL,MG,A favor,9360003,885170.69,Contra,"Pela estabilidade do País, sim ao relatório.",7
Daniel Almeida,PCdoB,BA,Contra,5671107.64,2709721.82,A favor,"Não à reforma da Previdência, não à reforma trabalhista, eleições diretas já. A denúncia, Sr. Presidente, é muito grave. Temer deve ser processado. Em nome do Deputado Davidson Magalhães, que foi retirado dessa votação, e em meu nome o voto é não.",42
Daniel Coelho,PSDB,PE,A favor,5969325.42,165195.24,A favor,"A lei e a ética não têm partido. Corrupção não se compara, se combate. Votei aqui para afastar Dilma, para afastar Cunha e hoje para que Temer seja investigado.",29
Daniel Vilela,PMDB,GO,A favor,3457913.4,1151710.29,Contra,"Presidente, acreditando que o Brasil está saindo de uma das mais graves crises econômicas da sua história, entendendo que o Presidente Michel Temer terá oportunidade de provar sua inocência após a perda da imunidade presidencial, meu voto é sim.",39
Danilo Cabral,PSB,PE,A favor,9494443,178418.73,A favor,"Sr. Presidente, em respeito ao povo brasileiro, em especial ao povo de Pernambuco, que entende que ninguém está acima da lei, que a justiça deve ser igual para todos, que os fatos denunciados são graves e devem ser apurados, eu voto não, em respeito a Pernambuco e à decisão do meu partido, ao PSB.",54
Danilo Forte,PSB,CE,A favor,8489000,229989.81,Contra,"Sr. Presidente, quando a vítima vira algoz, muitas vezes, ela age pelo ódio. E, agindo pelo ódio, ela não tem capacidade de julgar. Eu me lembro aqui da história de dólares na cueca do assessor do Deputado José Guimarães, quando foi imputada a ele a possibilidade de ser cassado pela Assembleia Legislativa do Estado do Ceará. Como eu o defendi naquele momento, porque não havia prova para cassá-lo; eu também não posso hoje prejulgar o Presidente da República. Diante disso, eu voto sim.",83
Danrlei de Deus Hinterholz,PSD,RS,A favor,6314378,3121415.59,A favor,Meu voto é não.,4
Darcísio Perondi,PMDB,RS,A favor,6970267.8,2283550.28,Contra,"Pela honra, pela integridade do Presidente Michel, e contra a privilegiatura pública que enterra o País, sim, Sr. Presidente.",19
Décio Lima,PT,SC,Contra,7821950.37,2284109.04,A favor,"Sr. Presidente, esse relatório é um manto para a impunidade. O Brasil não pode continuar sendo governado por um bandido, acompanhado de duas quadrilhas, que têm nome: PMDB e PSDB. Portanto, eu voto não ao relatório.",36
Dejorge Patrício,PRB,RJ,Não estava no cargo,0,0,Aus,,0
Delegado (Fernando) Francischini,SD,PR,A favor,4409729,2277017.09,A favor,"Sr. Presidente, por uma questão de coerência com a representação que faço aqui na Câmara da minha instituição Polícia Federal, eu voto não.",23
