dep,partido,estado,votodilma,liberado,recebido,vototemer,discurso,discurso2
Paulo Maluf,PP,SP,A favor,7433670,2846490.77,Contra," Pelo progresso e pelas reformas, voto sim!",7
Paulo Pereira da Silva,SD,SP,A favor,6662813,2341180.96,Contra,"Eu voto com o Relator, voto sim, Sr. Presidente.",9
Paulo Pimenta,PT,RS,Contra,7918517.76,2450242.56,A favor,"Contra a corrupção, para que seja investigado Michel Temer e essa quadrilha que tomou de assalto o Palácio do Planalto, contra a hipocrisia e o cinismo, eu voto não.",29
Paulo Teixeira,PT,SP,Contra,4287161,2179847.65,A favor,"A instabilidade no Brasil começou com Michel Temer, Eduardo Cunha e Aécio Neves. Michel Temer vendeu um favor no seu Governo. Foram pagos 500 mil reais. O seu interlocutor foi preso. Agora, este processo tem que continuar. O povo brasileiro está perdendo direitos, e o povo brasileiro é honesto. Este processo aconteceria com qualquer um dos brasileiros. Por isso, pelo prosseguimento, voto não.",63
Pedro Chaves,PMDB,GO,A favor,5019447.94,1592562.88,Contra,"Sr. Presidente, eu voto com o Relator da Comissão de Constituição e Justiça, voto sim.",15
Pedro Cunha Lima,PSDB,PB,A favor,6747317.17,264273.14,A favor,"A lei deveria valer para todos. Infelizmente, não vale. Ainda que derrotado, voto sim à investigação e não ao relatório.",20
Pedro Fernandes,PTB,MA,Contra,9473641.51,708372.11,Contra,"Sr. Presidente, só o Poder Legislativo tem o poder político. Eu acho que, com esse poder político, nós podemos dar uma trégua na crise política deste País. Por isso, Sr. Presidente, o Brasil não aguenta ter Presidente de plantão. Eu voto sim ao relatório.",44
Pedro Paulo,PMDB,RJ,A favor,10319538,0,Contra,"Sr. Presidente, li e reli todas as peças de acusação e defesa. Não háargumentos suficientes para afastar o Presidente da República. O Brasil precisa de estabilidade política, precisa avançar nas reformas e no ajuste fiscal, para crescer e gerar empregos. 
Eu voto sim, Sr. Presidente.",45
Pedro Uczai,PT,SC,Contra,6194638,2902676.67,A favor,"Um ano atrás, foi dado um golpe parlamentar contra uma Presidenta digna e honrada. Hoje, quer se dar um golpe parlamentar para proteger e salvar um dos políticos mais corruptos deste País. Fora, Temer! Meu voto é não.",38
Pedro Vilela,PSDB,AL,A favor,7460210.76,0,Aus,,0
Pepe Vargas,PT,RS,Contra,5239950,4333965.93,A favor,"Eu voto a favor do povo brasileiro, voto contra o Governo ilegítimo do Temer, voto contra a reforma previdenciária e contra a reforma trabalhista. Eu voto contra o arquivamento dessa denúncia. Fora, Temer! Diretas já! Deixem o povo brasileiro escolher o seu governo.",43
Pollyana Gama,PPS,SP,Não estava no cargo,0,0,A favor,"Sr. Presidente, retomar a credibilidade do País exige combate à corrupção e coerência das nossas atitudes. Voto pelo prosseguimento das investigações e não ao relatório.",25
Pompeo de Mattos,PDT,RS,Abstenção,6546314.78,2784054.92,A favor,"Sr. Presidente, eu jádisse aqui ao microfone: nem Dilma, nem Temer, nem Cunha. Agora chegou a vez do Temer. As denúncias são graves. Não são ilações. São denúncias profundas e não dá para esconder e nem tapar o sol com a peneira, e nem obstruir a Justiça. Contra a reforma previdenciária, voto contra o Temer. Não.",56
Pr. Marcos Feliciano,PSC,SP,A favor,7549076.44,1670125.51,Contra,"Sr. Presidente, quem tem visão política não tem visão míope, não enxerga apenas o momento, e, sim, o futuro.
Todos nós sabemos que a queda do Presidente hoje seria a volta do PT e a volta da Esquerda. Que as viúvas do PT chorem para lá.
Digo sim ao relatório do nosso sábio Relator.",54
Professor Victório Galli,PSC,MT,A favor,0,244283.05,Contra,"Pelo progresso do nosso País, pela nossa liberdade religiosa, pela não implantação da ideologia de gênero em nossas escolas e pelo nosso Mato Grosso, o maio produtor de grãos, o meu voto é sim.",34
Professora Dorinha Seabra Rezende,DEM,TO,A favor,6639324,640353.65,Contra,"Eu voto sim, seguindo a orientação do meu partido.",9
Professora Marcivania,PCdoB,AP,Contra,5423575,323742.41,A favor,"Com o meu voto hoje, eu homenageio oportunamente Lima Barreto, que certamente com muito pesar dizia ser o Brasilo país da comilança. Hoje, Deputados e Deputadas, é a mesma gula que outrora impeachmou a Presidenta Dilmahoje possivelmente pode impedir que o Supremo Tribunal Federal cumpra com o seu papel e continue com o processo de investigação e consequente condenação do Presidente ilegítimo Michel Temer. Há pouco mais de 1 ano, eu dizia que achava que esta Casa era Eu voto a favor do Brasil. Eu voto não ao relatório.",89
Rafael Motta,PSB,RN,A favor,5875262.98,1784524.23,A favor,"Sr. Presidente, eu defendo a Justiça nas suas instâncias federal, estadual e municipal. Aos culpados, a sua devida punição; e que os inocentes tenham o reconhecimento da sua honestidade. Sr. Presidente, aqueles que têm medo de investigação têm medo da verdade.
Por isso eu voto não a esse relatório.",49
Raimundo Gomes de Matos,PSDB,CE,A favor,8202229.41,239865.77,Aus,,0
Raquel Muniz,PSD,MG,A favor,5380411.84,1627404.97,Contra,"Sr. Presidente, estou aqui de cabeça erguida vencendo as injustiças, junto com o meu partido, o PSD, para votar o relatório do Deputado de Minas Gerais, Deputado Paulo Abi-Ackel. Voto sim, sim!",32
Reginaldo Lopes,PT,MG,Contra,5680670,5294985.93,A favor,"Contra o machismo, o cinismo, a hipocrisia e a dissimulação desta Legislatura que inventaram um crime para cassar a Presidenta Dilma e escondem os crimes contra o Michel Temer.
Malas de dinheiro, vídeos e delações comprovam a legalidade das provas.
Sim às investigações e não ao relatório do Deputado Paulo Abi-Ackel.",51
Reinhold Stephanes,PSD,PR,Não estava no cargo,7109370.55,0,Abs,"Sr. Presidente, simbolicamente eu voto sim, porque me atrasei na votação. Obrigado.",12
Remídio Monai,PR,RR,A favor,450000,38191.09,Contra,"Sr. Presidente, pela estabilidade política e econômica e em respeito ao meu partido, eu voto sim.",16
Renata Abreu,PODE,SP,A favor,8477403,433619.87,A favor,"Sr. Presidente, como disse o Deputado Orlando, nenhum cidadão pode estar acima da lei. Nós temos que ouvir a voz das ruas por mais democracia direta.
Por dias melhores neste País, voto não ao relatório, para o prosseguimento da... ",39
Renato Andrade,PP,MG,Não estava no cargo,0,0,Contra,"Sr. Presidente, a investigação pode esperar. Nós temos que ter responsabilidade com o nosso Brasil.
Voto com o Relator.",19
Renato Molling,PP,RS,A favor,3866168.98,2311239.02,Contra,"Recuperar um país quebrado e uma cidade quebrada depois do PT é muito difícil. Agora as coisas já estão melhorando.
Por isso eu voto sim.",25
Renzo Braz,PP,MG,A favor,5759524.37,2279574.56,Contra,"Voto sim, Sr. Presidente.",4
Ricardo Izar,PP,SP,A favor,8980140,1784806.11,Contra,"Eu voto com o relatório do PSDB, Sr. Presidente.",9
Ricardo Teobaldo,PODE,PE,Contra,1770680,764076.46,Contra,Voto sim.,2
Ricardo Tripoli,PSDB,SP,A favor,6854767,1832759.24,A favor,"Sr. Presidente, de acordo com a sustentação que já havia feito no encaminhamento de votação, voto contra o relatório, voto não, a favor do prosseguimento da investigação.",27
Roberto Alves,PRB,SP,A favor,5692903,795986.42,Contra,"Sr. Presidente, voto sim, porque acredito no crescimento do Brasil, na geração de emprego, saúde e segurança. 
Sim.",18
Roberto Balestra,PP,GO,A favor,9956920,3021727.33,Contra,"Sr. Presidente, eu sou de Inhumas, então eu voto por Inhumas, por outras, pelo meu Estado de Goiás e pelo Brasil. O meu voto é sim.",26
Roberto Britto,PP,BA,Contra,2720550,1775898.62,Contra,"Seguindo a orientação do meu partido, eu voto sim.",9
Roberto de Lucena,PV,SP,A favor,6883020,764527.46,Contra,"Sr. Presidente, eu quero que o Presidente Temer seja investigado após o seu mandato, de forma que nós não aprofundemos a crise econômica, a crise política e possamos fazer essa transição para os dias melhores que o Brasil merece, que o Brasil precisa. Precisamos votar com responsabilidade.
O meu voto é sim, com o relatório.",55
Roberto Freire,PPS,SP,Não estava no cargo,0,0,A favor,"Sr. Presidente, por decisão da bancada, o PPS está votando não. Acompanho a bancada e voto não.",17
Roberto Góes,PDT,AP,Contra,9800000,3789119.92,Contra,"Voto sim, Sr. Presidente.",4
Roberto Sales,PRB,RJ,A favor,8277194.25,342078.06,Contra,"Voto sim, conforme orientação do partido.",6
Rocha,PSDB,AC,A favor,5199930,1676777.51,A favor,"Sr. Presidente, este País não aguenta mais tanta corrupção, a corrupção que ele viu ao longo desses últimos 14 anos com o PT, e agora, na continuidade, com o PMDB.
Então, pela transparência, pela ética, nós não podemos usar uma medida diferente para o Presidente Temer, daquela que usamos para a Presidente Dilma.
Então, eu voto contra o relatório e a favor da investigação. Eu voto não.",67
Rodrigo de Castro,PSDB,MG,A favor,6271488.38,2157138.59,Contra,"Nós precisamos de geração de emprego, renda, justiça social e paz aos brasileiros. As investigações devem ocorre, mas no momento adequado.
Além disso, o PSDB não pode andar a reboque do PT que sempre virou as costas aos interesses brasileiros no Congresso Nacional.
Por isso voto sim ao relatório.",49
Rodrigo Maia,DEM,RJ,A favor,3589900,290048.85,presidente,,0
Rodrigo Martins,PSB,PI,A favor,9715956.06,1284384.89,A favor,"Sr. Presidente, o Brasil precisa ser passado a limpo. Por isso eu voto não ao relatório, a favor da investigação.",20
Rodrigo Pacheco,PMDB,MG,A favor,7209719,101043.2,Abs,"Sr. Presidente, na qualidade de Presidente da Comissão de Constituição e Justiça e de Cidadania desta Casa, eu busquei conduzir esse processo com absoluta imparcialidade nas decisões que tomei, na designação dos Relatores, primeiro o Deputado Sergio Zveiter, depois o Deputado Paulo Abi-Ackel, nada pode contaminar essa imparcialidade.
E em razão dessas circunstâncias, e só por isso, o meu voto é pela abstenção.",63
Rogério Marinho,PSDB,RN,A favor,7922330,1250833.62,Contra,"O Brasil começa a mudar, e ninguém está acima da lei. Tanto éverdade, que a quadrilha que assaltou o País durante 13 anos tem uma ex-Presidente afastada, tem um Presidente condenado a 9 anos de prisão, tem 3 ex-tesoureiros... 
E agora, Sr. Presidente, com certeza, a favor das reformas e pelo não arquivamento da denúncia, que será apreciada após o término do mandato do Presidente Temer, eu voto sim.",69
Rogério Peninha Mendonça,PMDB,SC,A favor,7487154,1197412.31,Contra,"Pela estabilidade política, econômica do Brasil, pela continuidade das reformas, eu voto sim ao relatório do Deputado Abi-Ackel, do PSDB.",20
Rogério Rosso,PSD,DF,A favor,4690382.36,1703892.89,Contra,"Sr. Presidente, Sras. e Srs. Deputados, de fato esta Legislatura éuma das mais conturbadas da história deste Parlamento, mas a democracia se consolida na medida em que a Constituição é cumprida. Nesse episódio, o primeiro da história do Brasil, a Procuradoria cumpriu seu papel, o Supremo cumpriu seu papel e a Câmara dos Deputados está cumprindo seu papel.
Portanto, em homenagem a todos os princípios constitucionais do...",67
Rogério Silva,PMDB,MT,Não estava no cargo,0,0,Contra,"Sr. Presidente, se o Presidente Michel Temer cometeu ilícito penal, ele vai pagar e na hora certa. 
O momento é pela estabilidade econômica. O meu voto é sim, Sr. Presidente. ",30
Rômulo Gouveia,PSD,PB,A favor,9970993,646124.36,Contra,"Eu voto sim ao relatório, Sr. Presidente.",7
Ronaldo Benedet,PMDB,SC,A favor,8392267.8,2156243.46,Contra,"Para o bem do Brasil, a estabilidade política é fundamental para continuar crescendo a nossa economia. Por isso, o meu voto é sim.",23
Ronaldo Carletto,PP,BA,Contra,9802665,486465.74,Aus,,0
Ronaldo Fonseca,PROS,DF,A favor,2221660,1184584.61,Contra,"Sr. Presidente, o Deputado Rôney Nemer não está presente nesta sessão por estar de licença médica por conta do falecimento de seu pai.
Quanto à denúncia, Sr. Presidente, eu vejo que ela é inepta. Não contém os pressupostos do art. 41 do CPP. A bem do Brasil, o voto é sim, Sr. Presidente.",53
Ronaldo Lessa,PDT,AL,Contra,8897646.53,2973465.68,,,0
Ronaldo Martins,PRB,CE,A favor,7103417,0,A favor,"Sr. Presidente, eu voto pela abertura da investigação. Voto não.",10
Ronaldo Nogueira,PTB,RS,A favor,0,1197601.94,Contra,"Pela preservação da ordem constitucional, pelo progresso do Brasil e pela recuperação do emprego, eu voto sim, Sr. Presidente.",19
Rôney Nemer,PP,DF,A favor,4063685.8,255993.24,Aus,,0
Rosangela Gomes,PRB,RJ,A favor,2326475.24,13862.72,Contra,"Sr. Presidente, eu não sou pautada pela mídia nacional. Votei aqui no impeachment pela retomada do crescimento econômico do Brasil, pelo combate à violência, pela minha Baixada, pela saúde do meu Estado. 
Eu voto sim!",35
Rubens Bueno,PPS,PR,A favor,9216095,3207648.85,A favor,"Sr. Presidente, sim à reforma da Previdência, sim àreforma trabalhista, sim à reforma política, sim à reforma daquilo que nós mais queremos que é a tributária. Aqui o voto é sim pelo Procurador-Geral da República e não ao relatório.",39
Rubens Otoni,PT,GO,Contra,7257710.46,249633.68,A favor,"Sr. Presidente, em defesa da democracia, contra a retirada de direitos do povo mais simples, humilde, trabalhador, pela garantia da continuidade das investigações, eu voto não.",26
Rubens Pereira Júnior,PCdoB,MA,Contra,6308379.62,1406747.35,A favor,"Sr. Presidente, há mala cheia de dinheiro, há vantagem indevida com ilícito na PETROBRAS, háconluio com Rocha Loures, há o crime de corrupção passiva. Afinal de contas, se uma mala cheia de dinheiro não for motivo suficiente para se processar alguém, o que mais seria?! O processo não atrapalha o Brasil! O que atrapalha o Brasil é a corrupção e a impunidade!
É por isso que eu voto pelo prosseguimento da denúncia. Voto não.
Fora, Temer!",76
Sabino Castelo Branco,PTB,AM,Não estava no cargo,0,0,Contra,"Presidente, para alegria de muitos e tristeza de poucos, que estão querendo o fim de um Brasil melhor, eu voto sim.",21
Ságuas Moraes,PT,MT,Contra,7581648,1682181.19,A favor,"Sr. Presidente, o meu voto épela abertura do processo de investigação contra o Presidente Michel Temer por atos de corrupção iniciados nos porões do Palácio do Jaburu, na calada da noite, e concluídos numa pizzaria em São Paulo.
O meu voto é não. Fora Temer! Diretas Já!",47
Sandro Alex,PSD,PR,A favor,4790560.55,1847811.01,A favor,"Sr. Presidente, cumprindo a minha função constitucional de fiscalizar; eu voto, mais uma vez, representando a capital cívica do Paraná: sim pela investigação; não ao relatório.",26
Saraiva Felipe,PMDB,MG,A favor,5398629.44,1359432.13,Contra,"Presidente, baseado em elementos de convicção e numa decisão partidária, eu acompanho o voto decidido na Comissão de Constituição e Justiça. ",21
Sebastião Oliveira,PR,PE,abstenção,0,0,Contra,"Sr. Presidente, eu não votei pelo afastamento da Dilma nem vou votar pelo afastamento do Temer. Eu voto sim pelo relatório, pela estabilidade do País e pelo investimentos vultosos que começam a acontecer em Pernambuco.",35
Sérgio Brito,PSD,BA,Contra,3680599,1076841.77,A favor,"Sr. Presidente, o meu voto é não.",7
Sérgio Moraes,PTB,RS,A favor,9348663,3932688.27,Contra,"Sr. Presidente, o País não tem como trocar três vezes de Presidente até o final de outro mandato. O Temer vai continuar sendo investigado depois, porque não se cessa a investigação.
Por isso eu voto sim ao relatório.",38
Sérgio Reis,PRB,SP,A favor,0,5188383.49,A favor,"Sr. Presidente, o povo brasileiro é um povo digno. E eu acho que uma parte dos brasileiro que vem para cá e vira político — não todos, porque temos decentes políticos —, uma minoria, faz toda essa maracutaia que nós estamos vendo, independentemente de partido, e deixa o povo incrédulo. O povo está incrédulo. O povo não aguenta mais. Então, pela dignidade do nosso povo, meu voto é não. ",69
Sergio Souza,PMDB,PR,A favor,8461168,1445622.08,Contra,"Sr. Presidente, o Brasil dá sinais claros de retomada do crescimento: geração de emprego, PIB positivo, balança comercial positiva. Isso é uma estabilidade de Governo. Por isso, sim ao relatório da CCJ.",32
Sérgio Vidigal,PDT,ES,A favor,6048046,1831805.09,A favor,"Pelo fortalecimento da Operação Lava-Jato, pelo princípio republicano de que a lei vale para todos e em respeito a 81% dos cidadãos brasileiros que hoje são totalmente contra a corrupção, a favor da ética na política, contra a impunidade, eu voto pelo prosseguimento da ação e contra o relatório. ",49
Sergio Zveiter,PMDB,RJ,A favor,0,0,A favor,"Eu mantenho o voto que eu proferi na CCJ, pelos fortes indícios da prática de corrupção passiva por Michel Temer e pelo direito que a sociedade tem de saber a verdade.",31
Shéridan,PSDB,RR,A favor,10757304,840866.29,Aus,,0
Silas Câmara,PRB,AM,A favor,7535719,0,Contra,"Sr. Presidente, pela prosperidade, progresso e segurança jurídica da Nação, em favor das famílias, eu voto sim.",17
Silas Freire,PODE,PI,Não estava no cargo,0,405750,A favor,"Precisamos tomar o Brasil das mãos da corrupção e devolvê-lo aos brasileiros. Só faremos isso se deixarmos as instituições dizer quem é inocente e quem é culpado: passar o Brasil a limpo.
Portanto, voto não ao relatório. Vamos à continuidade das investigações, pela transparência no Brasil.",46
Silvio Costa,PTdoB,PE,Contra,6160124,0,A favor,"Sr. Presidente, está provado que muita gente aqui mentiu mais uma vez para o povo. Veja, tem 214 não. Nós somos 513 Deputados, se os 214 não tivessem marcado presença, eles só teriam chegado a 299. Essa votação não estaria ocorrendo. Então, tem muita gente dando não aqui para jogar para a plateia — para concluir —, fazendo o jogo do Governo, fazendo o jogo do Governo! Neguinho deu não aqui para ajudar o Governo. 
Eu vou votar não porque eu quero combater.",83
Silvio Torres,PSDB,SP,A favor,9497353,1392397.14,A favor,"Sr. Presidente, o povo brasileiro merece e exige a verdade até o fim. Voto não, contra o relatório do Deputado Paulo Abi-Ackel.",22
Simão Sessim,PP,RJ,A favor,10666153,202692.47,Contra,"Sr. Presidente, nunca na história deste País o Governo Federal enfrentou o caos da violência no Rio de Janeiro. O Presidente Temer e o Ministro Jungmann implantaram a Operação Segurança e Paz, com 10 mil homens das Forças Armadas — do Exército, da Marinha e da Aeronáutica —, da Força Nacional, enfim de todas as forças de segurança do Estado. Para que isso não pare, Presidente, precisamos dar estabilidade a este País, política e econômica.
Por um Brasil crescente, democrático, voto sim.",82
Simone Morgado,PMDB,PA,Contra,7177127.87,1182223.55,Contra,Voto sim.,2
Soraya Santos,PMDB,RJ,A favor,5066700,81341.8,Contra,"Sr. Presidente, neste momento, nós temos que tomar uma decisão política: se este é o momento adequado ou não de gerar mais instabilidade neste País. O que a sociedade nos está cobrando é responsabilidade, é pararmos com essa briga política e votarmos pela segurança, pela estabilidade, pela economia.
Em nome das famílias brasileiras, como mulher, como mãe, meu voto é sim à estabilidade econômica deste País... Presidente, acabar com a vaidade e votar com a responsabilidade.",76
Sóstenes Cavalcante,DEM,RJ,A favor,9945101.03,679330.68,A favor,"Todos os Deputados do PSOL e do PCdoB votaram contra o impeachment da Presidente Dilma. Eles não têm moral e são hipócritas junto com o PT. Eu venho aqui, votei a favor do impeachment da Dilma e venho aqui dizer sim ao prosseguimento da denúncia contra o Presidente. Voto não ao relatório, Sr. Presidente. Lula na cadeia!",57
Stefano Aguiar,PSD,MG,A favor,9001298.52,6529535.18,A favor,"Sr. Presidente, eu fui membro da Comissão que discutiu as 10 Medidas Contra a Corrupção e, nesta Casa, represento um povo honrado que sonha com um Brasil melhor. Mesmo respeitando o Presidente, serei fiel às minhas convicções e a esse povo que me elegeu. Eu voto pela investigação.",48
Subtenente Gonzaga,PDT,MG,A favor,1477100,2820005.17,A favor,"Sr. Presidente, neste momento, milhares de policiais estão nas ruas do Brasil para combater a criminalidade, a violência, correndo risco de vida, e diante dos fatos análogos ao que estamos analisando, se eles não tomarem providências, serão condenados por prevaricação. Portanto, Sr. Presidente, não há coerência na nossa posição se não admitirmos a investigação para combater a impunidade, para combater a corrupção, para combater a violência. Eu voto não ao relatório.",71
Tadeu Alencar,PSB,PE,A favor,5917580,1132708.02,A favor,"Sr. Presidente, nós precisamos reconquistar a confiança da sociedade e sóvamos consegui-lo se viermos ao encontro do desejo da grande maioria do povo brasileiro que quer ver essa investigação do processo penal instaurado no Supremo Tribunal Federal e esse julgamento ser feito com toda isenção.
Por isso, em nome da moralidade pública, da decência na vida pública, em nome da decisão do meu partido, em respeito a Pernambuco e ao Brasil, eu voto não.",74
Takayama,PSC,PR,A favor,8218554.23,3143278.92,Contra,"Sr. Presidente, como Presidente da Frente Parlamentar Evangélica, eu quero dizer simao relatório do Deputado Paulo Abi-Ackel, em favor de um Brasil melhor, em favor da retomada do crescimento, em favor ao que está melhorando: sim ao relatório e não a esses corruptos que quase acabaram com o Brasil.",49
Tenente Lúcio,PSB,MG,A favor,7234800,2826353.3,Contra,"Presidente Rodrigo Maia, todos nós sabemos que, se V.Exa. quisesse seria o Presidente da República. Parabéns porque V.Exa. está dando demonstração que é um verdadeiro estadista. Parabéns por sua conduta ética e moral. Eu voto com o Relator.",38
Tereza Cristina,PSB,MS,A favor,6274745,848346.61,Contra,"Eu voto sim, Sr. Presidente.",5
Thiago Peixoto,PSD,GO,A favor,6877550.54,2586213.01,Contra,"Sr. Presidente, o Deputado Thiago Peixoto vota sim com o Relator.",11
Tiririca,PR,SP,A favor,6867834,3563712.51,A favor,"Sr. Presidente, eu vim do povo e estou com o povo contra a corrupção. O meu voto é não.",19
Toninho Pinheiro,PP,MG,A favor,9710775.6,369986.03,Contra,"Com humildade, nós temos que pedir a Deus sabedoria.
Veja bem, a Odebrecht veio aqui e falou que se rouba no Brasil há mais de 30 anos. Então, é importante investigar. É importante punir. Agora, acima de tudo, nós devemos ter uma maneira de não deixar acontecer o roubo.
Considerando que se rouba há 30 anos e o que está acontecendo, eu voto com o Relator, voto sim.",68
Toninho Wandscheer,PROS,PR,A favor,8765763,1833993.8,Contra,"Para continuarmos as reformas tão importantes para o nosso País, é sim ao relatório.",14
Uldurico Junior,PV,BA,A favor,6860943,745196.05,A favor,"Sr. Presidente, mais uma vez, esta Casa dá um passo na contramão daquilo que espera a grande maioria do povo brasileiro, afastando cada vez mais a representatividade do Congresso do nosso povo. 
O meu voto não veio pelo lado fácil da vida pública. O meu voto nunca foi nem nunca será vendido. O meu voto é não.",57
Vaidon Oliveira,DEM,CE,E,0,0,Contra,"Sr. Presidente, voto com o meu partido. O meu voto é sim. ",12
Valadares Filho,PSB,SE,A favor,0,1155861.08,A favor,"Sr. Presidente, Sras. e Srs. Deputados, povo brasileiro e do meu querido Estado de Sergipe, em nome da ética, tendo a consciência de que nenhum brasileiro está acima da lei, eu voto não.",33
Valdir Colatto,PMDB,SC,A favor,8409877.78,2589329.71,Contra,"Sr. Presidente, para consertar o estrago que o PT fez, nos 13 anos, no Brasil; em homenagem a quem trabalha, produz e gera emprego; em homenagem àqueles que respeitam a agricultura brasileira, que segura este Brasil em pé; sim, Sr. Presidente.",41
Valmir Assunção,PT,BA,Contra,6571040,5831778.49,A favor,"Sr. Presidente, a expressão cretinismo parlamentar nunca esteve tão atual. Por isso, para combatê-la, é a sociedade organizada, é o Movimento Sem Terra, é a CUT, é o Levante, é a Frente Povo Sem Medo, é o Movimento Sem Teto, éo movimento de mulheres, da juventude, é o movimento negro.
Em homenagem à minha Itamaraju, à minha Bahia, em homenagem àqueles que lutam, em homenagem à Presidente Dilma e, em 2018, ao Lula como Presidente, é não ao relatório do PSDB e sobretudo: Fora, Temer! Diretas já!",87
Valmir Prascidelli,PT,SP,Contra,6766053,2157679.21,A favor,"Sr Presidente, o nosso País está sendo destruído, os trabalhadores estão perdendo direitos e por isso eu voto favoravelmente à continuidade das investigações e contra esse relatório do PSDB que protege o Temer, a corrupção e que quer destruir o nosso País.
Eu voto contra o relatório do PSDB.",49
Vander Loubet,PT,MS,Contra,9195453,0,A favor,"Sr. Presidente, o nosso voto é contra o relatório, a favor da investigação e contra a reforma da Previdência.
Voto não.",21
Vanderlei Macris,PSDB,SP,A favor,4827153,2481368.1,A favor,"Sr. Presidente, é simples, neste País ninguém estáacima da lei, do mais humilde ao mais poderoso. É um novo Brasil. Eu defendo a investigação, Sr. Presidente, até para que ele possa se defender. 
Minha votação é pelo relatório, na posição contrária, não e sim às investigações. Muito obrigado.",48
Veneziano Vital do Rêgo,PMDB,PB,A favor,0,268429.05,A favor,"Sr. Presidente, Sras. e Srs. Parlamentares, voto não ao relatório.",10
Vicente Candido,PT,SP,Contra,6390981.58,943471.13,A favor,"Sr. Presidente, em respeito ao povo de São Paulo e pela dignidade do povo brasileiro, eu voto contra o relatório do PSDB. 
Eu voto não.",25
Vicentinho,PT,SP,Contra,7636098,2076948.06,A favor,"O que está em jogo neste momento são os interesses da minha classe, a classe trabalhadora, dos homens do campo, das mulheres, dos jovens, do meu povo quilombola, que está ameaçado no Supremo Tribunal Federal, por uma ADIN do DEM, aqui desta Casa.
Eu queria chamar a atenção do Michel Temer. Ele não é inocente? Então, enfrente a investigação e prove a sua inocência. 
O meu voto é não.",69
Vicentinho Júnior,PR,TO,Contra,5813513,1977011.32,Abs,,0
Victor Mendes,PSD,MA,A favor,9527373,0,Contra,"Sr. Presidente, o Presidente Temer será investigado mais à frente.
Essa denúncia se baseou no art. 317 do Código Penal. Só que a corrupção não foi praticada por ele. O Ministério Público não conseguiu mostrar. Quem pegou o dinheiro está... Então, essa denúncia se baseou em ilação, em suposição.
Afastar um Presidente, desestabilizar um País com base em suposição é frágil.
Por isso, eu voto sim ao relatório.",68
Vinicius Carvalho,PRB,SP,A favor,7530684.52,305195.46,Contra,"Sr. Presidente, o meu voto é sim.",7
Vinicius Gurgel,PR,AP,Abstenção,10071925,695991.63,Contra,"Pela estabilidade econômica e pelo meu Estado do Amapá, eu voto sim.",12
Vitor Lippi,PSDB,SP,A favor,3186651.1,2132687.63,A favor,"Sr. Presidente, eu tenho sido e continuarei favorável às reformas que o Presidente Temer tem mandado para esta Casa para melhorar este País, para a retomada da economia e para a volta dos empregos, que a população tanto espera. No entanto, o meu voto é não. Sou contrário ao parecer do PSDB.",52
Vitor Valim,PMDB,CE,A favor,10722953,799650.82,A favor,"Sr. Presidente, demais Parlamentares, doa a quem doer, representando o meu Estado do Cearáe cidades como Fortaleza e minha querida Caucaia, eu voto a favor da investigação. Ninguém está acima da lei!",32
Wadih Damous,PT,RJ,Contra,0,0,A favor,"O Palácio do Planalto é sede do crime organizado. Michel Temer é chefe do crime organizado e traidor da classe trabalhadora brasileira. Voto não, pelo prosseguimento da denúncia.",28
Waldenor Pereira,PT,BA,Contra,9784475,3273318.21,A favor,"Em defesa do exercício da política com ética, transparência e sem corrupção e pela mais ampla investigação das graves denúncias de corrupção contra o Presidente ilegítimo, corrupto e golpista Michel Temer, eu defendo Diretas já! E o meu voto é não.",41
Waldir Maranhão,PP,MA,Contra,3783000,534320.96,A favor,"Sr. Presidente, povo brasileiro, povo do meu querido Estado do Maranhão, o meu voto é pela coerência. Votei contra o impeachment, votei contra o golpe; portanto, não.",27
Walney Rocha,PEN,RJ,Não estava no cargo,7207100,1572470.54,Contra,"Voto com o Relator, Sr. Presidente. Portanto, voto sim.",9
Walter Alves,PMDB,RN,A favor,6237435,904938.96,Contra,"Sr. Presidente, Sras. e Srs. Deputados, voto de acordo com o Relator: voto sim.",14
Walter Ihoshi,PSD,SP,Não estava no cargo,0,0,Contra,"Sr. Presidente, pela estabilidade, pelo avanço das reformas, o meu voto é sim.",13
Weliton Prado,PMB,MG,A favor,3268578,689450.06,A favor,"A denúncia é séria, é grave e tem que ser investigada. Essa é a vontade de mais de 80% da população, que tem que ser respeitada.
Não ao relatório, não ao Temer, não à reforma da Previdência!. Nenhum direito a menos!",41
Wellington Roberto,PR,PB,Contra,6441750,1045698.28,A favor,"Sr. Presidente, Srs. Deputados, com todo respeito ao meu partido que fechou questão para votar sim, eu não posso deixar de reconhecer os milhares de votos dos paraibanos que me enviaram para representá-los aqui na Câmara Federal.
Desta forma, Sr. Presidente, eu voto não ao relatório e já me antecipo contra a reforma da Previdência, que prejudica o trabalhador brasileiro. Muito obrigado.",62
Weverton Rocha,PDT,MA,Contra,5720573.17,0,A favor,"Sr. Presidente, estamos num Estado de Direito. Todos têm que se submeter à lei, inclusive o Presidente da República.
Voto contra a reforma trabalhista, contra a reforma da Previdência, contra qualquer retirada de direitos do nosso trabalhador. Acreditamos que o Brasil pode, sim, superar essa crise fazendo a boa política, e a política é nós fazermos a nossa parte. Todo o Parlamento tem que votar, e nós do PDT votamos não ao relatório.
Fora, Temer! e diretas já!",78
